CF_age band,Department,Education Field,Employee Number,Gender,Job Role,Marital Status,Age,Education,Employee Count
25 - 34,R&D,Medical,439,Female,Research Scientist,Single,32,Master's Degree,1
25 - 34,R&D,Medical,440,Male,Research Scientist,Married,28,Master's Degree,1
25 - 34,R&D,Medical,441,Female,Research Scientist,Married,30,Associates Degree,1
25 - 34,R&D,Life Sciences,442,Female,Manufacturing Director,Married,31,Associates Degree,1
35 - 44,R&D,Medical,444,Male,Manager,Married,39,Associates Degree,1
35 - 44,Sales,Medical,445,Female,Sales Executive,Married,39,Associates Degree,1
25 - 34,Sales,Marketing,446,Male,Sales Executive,Single,33,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,447,Male,Research Director,Married,47,Doctoral Degree,1
35 - 44,R&D,Life Sciences,448,Female,Laboratory Technician,Divorced,43,Master's Degree,1
25 - 34,Sales,Marketing,449,Male,Sales Executive,Married,27,High School,1
45 - 54,R&D,Life Sciences,450,Female,Research Scientist,Single,54,Master's Degree,1
35 - 44,R&D,Life Sciences,451,Female,Healthcare Representative,Married,43,Bachelor's Degree,1
45 - 54,R&D,Other,452,Male,Research Scientist,Married,45,Master's Degree,1
35 - 44,Sales,Medical,453,Male,Sales Executive,Married,40,Associates Degree,1
25 - 34,R&D,Other,454,Male,Laboratory Technician,Married,29,Master's Degree,1
25 - 34,R&D,Other,455,Male,Laboratory Technician,Single,29,Doctoral Degree,1
25 - 34,Sales,Marketing,456,Female,Sales Executive,Divorced,30,Bachelor's Degree,1
25 - 34,Sales,Marketing,458,Female,Sales Executive,Married,27,Master's Degree,1
35 - 44,R&D,Medical,460,Male,Manufacturing Director,Divorced,37,Associates Degree,1
35 - 44,R&D,Life Sciences,461,Male,Research Director,Divorced,38,Associates Degree,1
25 - 34,R&D,Medical,462,Female,Manufacturing Director,Single,31,Master's Degree,1
25 - 34,Sales,Marketing,463,Female,Sales Executive,Divorced,29,High School,1
35 - 44,R&D,Technical Degree,464,Male,Manufacturing Director,Single,35,Master's Degree,1
Under 25,R&D,Life Sciences,465,Male,Research Scientist,Divorced,23,High School,1
35 - 44,R&D,Medical,466,Male,Manufacturing Director,Single,41,Bachelor's Degree,1
45 - 54,Sales,Medical,467,Male,Sales Representative,Single,47,High School,1
35 - 44,R&D,Life Sciences,468,Female,Research Director,Single,42,Doctoral Degree,1
25 - 34,Sales,Life Sciences,469,Male,Sales Executive,Married,29,Bachelor's Degree,1
35 - 44,HR,Technical Degree,470,Male,Human Resources,Divorced,42,High School,1
25 - 34,R&D,Medical,471,Female,Laboratory Technician,Married,32,Bachelor's Degree,1
45 - 54,Sales,Medical,473,Female,Manager,Married,48,High School,1
35 - 44,R&D,Medical,474,Male,Research Scientist,Divorced,37,Bachelor's Degree,1
25 - 34,Sales,Technical Degree,475,Female,Sales Executive,Married,30,Associates Degree,1
25 - 34,Sales,Life Sciences,476,Male,Sales Executive,Married,26,Bachelor's Degree,1
35 - 44,R&D,Other,477,Male,Healthcare Representative,Single,42,Master's Degree,1
Under 25,Sales,Technical Degree,478,Female,Sales Representative,Single,21,High School,1
35 - 44,Sales,Medical,479,Female,Sales Executive,Single,36,Doctoral Degree,1
35 - 44,Sales,Medical,481,Male,Sales Executive,Married,36,Master's Degree,1
Over 55,R&D,Medical,482,Male,Healthcare Representative,Married,57,Master's Degree,1
35 - 44,R&D,Life Sciences,483,Female,Laboratory Technician,Married,40,Master's Degree,1
Under 25,Sales,Medical,484,Male,Sales Representative,Single,21,Associates Degree,1
25 - 34,Sales,Marketing,485,Female,Sales Representative,Single,33,Bachelor's Degree,1
35 - 44,R&D,Medical,486,Female,Laboratory Technician,Married,37,Bachelor's Degree,1
45 - 54,R&D,Medical,487,Female,Manufacturing Director,Married,46,Master's Degree,1
35 - 44,Sales,Marketing,488,Male,Sales Executive,Single,41,Bachelor's Degree,1
45 - 54,R&D,Technical Degree,491,Male,Healthcare Representative,Single,50,Bachelor's Degree,1
35 - 44,Sales,Marketing,492,Male,Sales Executive,Married,40,Associates Degree,1
25 - 34,R&D,Life Sciences,493,Male,Research Scientist,Single,31,Master's Degree,1
Under 25,Sales,Life Sciences,494,Female,Sales Representative,Single,21,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,495,Male,Research Scientist,Single,29,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,496,Male,Healthcare Representative,Single,35,Master's Degree,1
25 - 34,R&D,Medical,497,Male,Laboratory Technician,Divorced,27,Associates Degree,1
25 - 34,Sales,Life Sciences,498,Male,Sales Executive,Single,28,Master's Degree,1
45 - 54,R&D,Other,499,Male,Healthcare Representative,Single,49,Bachelor's Degree,1
45 - 54,Sales,Life Sciences,500,Female,Sales Executive,Married,51,Associates Degree,1
35 - 44,R&D,Life Sciences,501,Female,Research Scientist,Married,36,Bachelor's Degree,1
25 - 34,Sales,Marketing,502,Male,Sales Executive,Single,34,Bachelor's Degree,1
Over 55,R&D,Life Sciences,505,Female,Manager,Single,55,Bachelor's Degree,1
Under 25,Sales,Marketing,507,Female,Sales Executive,Divorced,24,Master's Degree,1
25 - 34,Sales,Technical Degree,508,Male,Sales Representative,Married,30,High School,1
25 - 34,R&D,Technical Degree,510,Male,Research Scientist,Single,26,High School,1
Under 25,R&D,Medical,511,Female,Research Scientist,Married,22,Bachelor's Degree,1
35 - 44,Sales,Medical,513,Male,Sales Executive,Married,36,Associates Degree,1
25 - 34,R&D,Technical Degree,514,Male,Research Scientist,Single,30,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,515,Female,Laboratory Technician,Divorced,37,Bachelor's Degree,1
35 - 44,Sales,Marketing,516,Female,Sales Executive,Divorced,40,Associates Degree,1
35 - 44,R&D,Life Sciences,517,Female,Laboratory Technician,Divorced,42,Master's Degree,1
35 - 44,R&D,Life Sciences,518,Male,Manufacturing Director,Single,37,Master's Degree,1
35 - 44,R&D,Life Sciences,520,Male,Research Director,Divorced,43,Bachelor's Degree,1
35 - 44,R&D,Medical,521,Female,Laboratory Technician,Married,40,Bachelor's Degree,1
45 - 54,R&D,Medical,522,Male,Research Director,Married,54,Associates Degree,1
25 - 34,Sales,Marketing,523,Female,Sales Executive,Married,34,Master's Degree,1
25 - 34,R&D,Medical,524,Female,Manufacturing Director,Married,31,Associates Degree,1
35 - 44,R&D,Medical,525,Male,Laboratory Technician,Married,43,Bachelor's Degree,1
35 - 44,R&D,Other,526,Female,Healthcare Representative,Divorced,43,Master's Degree,1
25 - 34,Sales,Life Sciences,527,Female,Sales Executive,Single,25,Associates Degree,1
35 - 44,R&D,Medical,529,Female,Research Scientist,Married,37,Doctoral Degree,1
25 - 34,R&D,Life Sciences,530,Male,Laboratory Technician,Married,31,Associates Degree,1
35 - 44,R&D,Life Sciences,531,Male,Manager,Divorced,39,High School,1
Over 55,Sales,Life Sciences,532,Female,Sales Executive,Married,56,Bachelor's Degree,1
25 - 34,Sales,Technical Degree,533,Female,Sales Executive,Single,30,Bachelor's Degree,1
35 - 44,Sales,Marketing,534,Male,Sales Executive,Married,41,Bachelor's Degree,1
25 - 34,R&D,Medical,536,Male,Laboratory Technician,Divorced,28,Associates Degree,1
25 - 34,R&D,Medical,538,Male,Laboratory Technician,Married,25,Bachelor's Degree,1
45 - 54,R&D,Medical,543,Male,Manufacturing Director,Married,52,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,544,Male,Research Scientist,Married,45,Associates Degree,1
45 - 54,R&D,Life Sciences,546,Female,Manager,Married,52,Associates Degree,1
35 - 44,R&D,Life Sciences,547,Female,Research Scientist,Divorced,42,Associates Degree,1
25 - 34,R&D,Life Sciences,548,Female,Manufacturing Director,Single,30,Bachelor's Degree,1
Over 55,R&D,Life Sciences,549,Female,Manager,Married,60,Bachelor's Degree,1
45 - 54,R&D,Medical,550,Female,Manufacturing Director,Divorced,46,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,551,Female,Healthcare Representative,Married,42,Master's Degree,1
Under 25,Sales,Technical Degree,554,Female,Sales Representative,Single,24,High School,1
25 - 34,Sales,Marketing,555,Female,Sales Representative,Divorced,34,Associates Degree,1
35 - 44,R&D,Life Sciences,556,Male,Laboratory Technician,Married,38,Associates Degree,1
35 - 44,Sales,Life Sciences,558,Female,Manager,Married,40,Master's Degree,1
25 - 34,R&D,Life Sciences,560,Female,Research Scientist,Divorced,26,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,562,Male,Laboratory Technician,Married,30,Bachelor's Degree,1
25 - 34,R&D,Medical,564,Male,Research Director,Married,29,Master's Degree,1
25 - 34,R&D,Technical Degree,565,Female,Research Scientist,Married,29,Doctoral Degree,1
Under 25,HR,Technical Degree,566,Male,Human Resources,Single,19,Associates Degree,1
25 - 34,Sales,Other,567,Female,Sales Executive,Married,30,Master's Degree,1
Over 55,Sales,Marketing,568,Male,Manager,Divorced,57,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,569,Male,Manager,Married,50,Master's Degree,1
25 - 34,R&D,Medical,571,Female,Laboratory Technician,Single,30,Bachelor's Degree,1
Over 55,Sales,Marketing,573,Female,Sales Executive,Married,60,Bachelor's Degree,1
45 - 54,R&D,Medical,574,Female,Manufacturing Director,Divorced,47,Associates Degree,1
45 - 54,R&D,Life Sciences,575,Male,Research Director,Married,46,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,577,Male,Laboratory Technician,Single,35,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,578,Female,Laboratory Technician,Single,54,Master's Degree,1
25 - 34,R&D,Life Sciences,579,Male,Research Scientist,Divorced,34,Master's Degree,1
45 - 54,Sales,Marketing,580,Female,Sales Executive,Married,46,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,581,Male,Manufacturing Director,Divorced,31,High School,1
25 - 34,R&D,Medical,582,Male,Manager,Married,33,High School,1
25 - 34,R&D,Medical,584,Male,Laboratory Technician,Divorced,33,High School,1
25 - 34,Sales,Marketing,585,Male,Sales Representative,Single,30,High School,1
35 - 44,R&D,Life Sciences,586,Male,Healthcare Representative,Married,35,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,587,Male,Healthcare Representative,Married,31,Bachelor's Degree,1
25 - 34,HR,Human Resources,590,Female,Human Resources,Divorced,34,Bachelor's Degree,1
35 - 44,R&D,Other,591,Male,Laboratory Technician,Married,42,Associates Degree,1
35 - 44,Sales,Medical,592,Male,Sales Executive,Single,36,Master's Degree,1
Under 25,R&D,Technical Degree,593,Male,Laboratory Technician,Single,22,High School,1
45 - 54,Sales,Marketing,595,Female,Sales Executive,Married,48,Doctoral Degree,1
Over 55,Sales,Life Sciences,597,Female,Manager,Single,55,Doctoral Degree,1
35 - 44,Sales,Life Sciences,599,Male,Sales Executive,Single,41,Associates Degree,1
35 - 44,Sales,Marketing,600,Male,Sales Executive,Married,35,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,601,Female,Manufacturing Director,Single,40,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,602,Female,Laboratory Technician,Married,39,High School,1
25 - 34,Sales,Life Sciences,604,Male,Sales Executive,Single,31,High School,1
35 - 44,R&D,Medical,605,Male,Manufacturing Director,Married,42,Bachelor's Degree,1
45 - 54,Sales,Other,606,Male,Sales Executive,Married,45,Bachelor's Degree,1
25 - 34,HR,Life Sciences,608,Female,Human Resources,Divorced,26,Master's Degree,1
25 - 34,R&D,Technical Degree,611,Male,Manufacturing Director,Divorced,29,Bachelor's Degree,1
25 - 34,R&D,Medical,612,Female,Research Director,Divorced,33,Doctoral Degree,1
25 - 34,Sales,Life Sciences,613,Male,Manager,Divorced,31,Bachelor's Degree,1
Under 25,Sales,Marketing,614,Male,Sales Representative,Single,18,Bachelor's Degree,1
35 - 44,Sales,Other,615,Male,Sales Executive,Divorced,40,Bachelor's Degree,1
35 - 44,R&D,Other,616,Female,Healthcare Representative,Single,41,Master's Degree,1
25 - 34,Sales,Medical,618,Male,Sales Executive,Divorced,26,Associates Degree,1
35 - 44,Sales,Medical,620,Female,Sales Executive,Single,35,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,621,Male,Sales Executive,Single,34,Master's Degree,1
25 - 34,R&D,Technical Degree,622,Male,Laboratory Technician,Single,26,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,623,Female,Manufacturing Director,Single,37,Bachelor's Degree,1
45 - 54,R&D,Medical,624,Female,Healthcare Representative,Married,46,High School,1
35 - 44,Sales,Life Sciences,625,Female,Manager,Married,41,Doctoral Degree,1
35 - 44,Sales,Medical,626,Male,Sales Executive,Divorced,37,Master's Degree,1
45 - 54,R&D,Technical Degree,630,Male,Research Scientist,Divorced,52,Associates Degree,1
25 - 34,Sales,Other,631,Male,Sales Executive,Married,32,Master's Degree,1
Under 25,Sales,Medical,632,Male,Sales Representative,Married,24,Bachelor's Degree,1
35 - 44,R&D,Medical,634,Female,Healthcare Representative,Married,38,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,635,Female,Manufacturing Director,Married,37,Master's Degree,1
45 - 54,R&D,Life Sciences,638,Male,Research Director,Divorced,49,Master's Degree,1
Under 25,R&D,Medical,639,Male,Research Scientist,Married,24,Bachelor's Degree,1
25 - 34,Sales,Marketing,641,Male,Sales Executive,Married,26,Associates Degree,1
Under 25,R&D,Other,643,Male,Laboratory Technician,Married,24,Associates Degree,1
45 - 54,HR,Medical,644,Male,Manager,Married,50,Bachelor's Degree,1
25 - 34,Sales,Medical,645,Male,Sales Representative,Married,25,High School,1
Under 25,R&D,Life Sciences,647,Female,Laboratory Technician,Married,24,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,648,Male,Sales Representative,Married,30,Master's Degree,1
25 - 34,R&D,Life Sciences,649,Male,Research Scientist,Married,34,Associates Degree,1
25 - 34,Sales,Medical,650,Male,Sales Executive,Divorced,31,Master's Degree,1
35 - 44,R&D,Other,652,Male,Laboratory Technician,Single,35,Associates Degree,1
25 - 34,Sales,Medical,653,Male,Sales Executive,Divorced,31,Master's Degree,1
25 - 34,R&D,Medical,655,Female,Research Scientist,Divorced,27,Master's Degree,1
35 - 44,Sales,Marketing,656,Male,Sales Executive,Married,37,Bachelor's Degree,1
Under 25,R&D,Life Sciences,657,Female,Research Scientist,Single,20,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,659,Female,Healthcare Representative,Married,42,Master's Degree,1
35 - 44,R&D,Other,661,Male,Research Director,Divorced,43,Master's Degree,1
35 - 44,R&D,Life Sciences,662,Female,Research Scientist,Single,38,High School,1
35 - 44,R&D,Medical,663,Male,Laboratory Technician,Divorced,43,Doctoral Degree,1
45 - 54,R&D,Life Sciences,664,Female,Manager,Married,48,Master's Degree,1
35 - 44,HR,Life Sciences,665,Female,Human Resources,Single,44,Master's Degree,1
25 - 34,Sales,Technical Degree,666,Female,Sales Representative,Divorced,34,Bachelor's Degree,1
25 - 34,Sales,Marketing,667,Male,Sales Representative,Divorced,27,High School,1
Under 25,Sales,Technical Degree,669,Male,Sales Representative,Single,21,High School,1
35 - 44,R&D,Other,671,Male,Manager,Married,44,Master's Degree,1
Under 25,R&D,Medical,675,Male,Research Scientist,Married,22,High School,1
25 - 34,Sales,Marketing,677,Male,Sales Executive,Divorced,33,Master's Degree,1
25 - 34,R&D,Life Sciences,679,Female,Research Scientist,Married,32,Master's Degree,1
25 - 34,R&D,Medical,680,Female,Research Scientist,Divorced,30,Bachelor's Degree,1
45 - 54,Sales,Medical,682,Female,Sales Executive,Single,53,High School,1
25 - 34,R&D,Life Sciences,683,Male,Research Scientist,Married,34,Doctoral Degree,1
45 - 54,Sales,Life Sciences,684,Female,Sales Executive,Married,45,Master's Degree,1
25 - 34,R&D,Life Sciences,686,Female,Laboratory Technician,Married,26,Bachelor's Degree,1
35 - 44,R&D,Other,689,Male,Manufacturing Director,Married,37,Bachelor's Degree,1
25 - 34,Sales,Medical,690,Female,Sales Executive,Married,29,Associates Degree,1
35 - 44,R&D,Life Sciences,691,Male,Research Scientist,Single,35,Master's Degree,1
25 - 34,R&D,Life Sciences,692,Male,Healthcare Representative,Divorced,33,Bachelor's Degree,1
45 - 54,HR,Medical,698,Male,Human Resources,Married,54,Master's Degree,1
35 - 44,R&D,Medical,699,Male,Manufacturing Director,Divorced,36,Associates Degree,1
25 - 34,R&D,Medical,700,Male,Research Scientist,Single,27,Master's Degree,1
Under 25,R&D,Medical,701,Male,Research Scientist,Single,20,High School,1
25 - 34,R&D,Life Sciences,702,Male,Research Scientist,Single,33,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,704,Male,Laboratory Technician,Married,35,Bachelor's Degree,1
Under 25,R&D,Medical,705,Male,Research Scientist,Married,23,Bachelor's Degree,1
25 - 34,Sales,Life Sciences,707,Male,Sales Executive,Married,25,Bachelor's Degree,1
35 - 44,Sales,Marketing,709,Female,Sales Executive,Single,38,Master's Degree,1
25 - 34,R&D,Life Sciences,710,Male,Research Scientist,Divorced,29,Master's Degree,1
45 - 54,Sales,Marketing,712,Male,Sales Executive,Married,48,High School,1
25 - 34,Sales,Medical,714,Female,Sales Executive,Divorced,27,High School,1
35 - 44,R&D,Life Sciences,715,Male,Research Scientist,Single,37,Associates Degree,1
45 - 54,R&D,Medical,716,Male,Laboratory Technician,Married,50,High School,1
25 - 34,R&D,Medical,717,Female,Healthcare Representative,Single,34,Bachelor's Degree,1
Under 25,Sales,Life Sciences,720,Female,Sales Executive,Single,24,Associates Degree,1
35 - 44,R&D,Technical Degree,721,Female,Healthcare Representative,Single,39,Master's Degree,1
25 - 34,Sales,Marketing,722,Male,Sales Executive,Single,32,Bachelor's Degree,1
45 - 54,Sales,Technical Degree,723,Male,Sales Executive,Married,50,Associates Degree,1
35 - 44,R&D,Life Sciences,724,Female,Healthcare Representative,Single,38,Master's Degree,1
25 - 34,R&D,Life Sciences,725,Female,Manufacturing Director,Married,27,Associates Degree,1
25 - 34,R&D,Life Sciences,727,Female,Research Director,Single,32,Associates Degree,1
45 - 54,Sales,Marketing,728,Male,Sales Executive,Single,47,Master's Degree,1
35 - 44,Sales,Life Sciences,729,Male,Sales Executive,Married,40,Master's Degree,1
45 - 54,R&D,Life Sciences,730,Male,Research Director,Married,53,Bachelor's Degree,1
35 - 44,HR,Human Resources,731,Male,Manager,Divorced,41,Master's Degree,1
Over 55,Sales,Marketing,732,Male,Sales Executive,Single,60,Master's Degree,1
25 - 34,R&D,Life Sciences,733,Male,Manufacturing Director,Divorced,27,Associates Degree,1
35 - 44,HR,Human Resources,734,Male,Manager,Married,41,Bachelor's Degree,1
45 - 54,Sales,Marketing,738,Male,Sales Representative,Married,50,Master's Degree,1
25 - 34,R&D,Life Sciences,741,Female,Research Scientist,Single,28,Associates Degree,1
35 - 44,R&D,Life Sciences,742,Female,Research Director,Married,36,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,743,Female,Manufacturing Director,Single,38,Bachelor's Degree,1
35 - 44,R&D,Medical,744,Male,Laboratory Technician,Single,44,Bachelor's Degree,1
45 - 54,Sales,Medical,746,Female,Sales Executive,Divorced,47,Bachelor's Degree,1
25 - 34,Sales,Marketing,747,Male,Sales Executive,Divorced,30,Doctoral Degree,1
25 - 34,Sales,Life Sciences,749,Male,Sales Representative,Single,29,Bachelor's Degree,1
35 - 44,R&D,Medical,752,Male,Research Scientist,Divorced,42,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,754,Male,Sales Executive,Married,43,Bachelor's Degree,1
25 - 34,R&D,Medical,757,Female,Healthcare Representative,Single,34,Associates Degree,1
Under 25,R&D,Medical,758,Male,Laboratory Technician,Married,23,High School,1
35 - 44,HR,Human Resources,760,Female,Human Resources,Married,39,Bachelor's Degree,1
Over 55,R&D,Medical,762,Male,Healthcare Representative,Married,56,Bachelor's Degree,1
35 - 44,R&D,Medical,763,Female,Research Scientist,Single,40,High School,1
25 - 34,R&D,Medical,764,Female,Healthcare Representative,Single,27,Bachelor's Degree,1
25 - 34,Sales,Marketing,766,Male,Sales Representative,Divorced,29,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,769,Male,Laboratory Technician,Single,53,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,771,Female,Healthcare Representative,Divorced,35,Master's Degree,1
25 - 34,R&D,Life Sciences,772,Male,Laboratory Technician,Married,32,Master's Degree,1
35 - 44,R&D,Medical,773,Male,Research Scientist,Married,38,Doctoral Degree,1
25 - 34,R&D,Life Sciences,775,Female,Manufacturing Director,Divorced,34,Doctoral Degree,1
45 - 54,Sales,Marketing,776,Male,Manager,Married,52,Master's Degree,1
25 - 34,R&D,Other,780,Male,Research Scientist,Single,33,Master's Degree,1
25 - 34,Sales,Medical,781,Female,Sales Executive,Single,25,High School,1
45 - 54,Sales,Technical Degree,783,Male,Sales Representative,Single,45,Associates Degree,1
Under 25,R&D,Medical,784,Male,Research Scientist,Single,23,High School,1
45 - 54,Sales,Life Sciences,785,Female,Sales Executive,Single,47,Associates Degree,1
25 - 34,Sales,Other,786,Male,Sales Executive,Single,34,Bachelor's Degree,1
Over 55,R&D,Medical,787,Male,Manager,Married,55,Bachelor's Degree,1
35 - 44,Sales,Life Sciences,789,Male,Sales Executive,Single,36,Master's Degree,1
45 - 54,R&D,Medical,791,Male,Research Scientist,Married,52,Master's Degree,1
25 - 34,R&D,Life Sciences,792,Female,Laboratory Technician,Divorced,26,Associates Degree,1
25 - 34,R&D,Medical,793,Female,Healthcare Representative,Married,29,Bachelor's Degree,1
25 - 34,Sales,Technical Degree,796,Male,Sales Executive,Single,26,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,797,Female,Research Scientist,Single,34,Master's Degree,1
45 - 54,R&D,Medical,799,Female,Manufacturing Director,Divorced,54,Master's Degree,1
25 - 34,Sales,Marketing,800,Male,Sales Executive,Married,27,High School,1
35 - 44,R&D,Life Sciences,802,Female,Research Scientist,Divorced,37,High School,1
35 - 44,R&D,Life Sciences,803,Female,Manufacturing Director,Single,38,Master's Degree,1
25 - 34,R&D,Medical,804,Female,Research Scientist,Single,34,Master's Degree,1
35 - 44,Sales,Life Sciences,805,Female,Sales Representative,Married,35,Master's Degree,1
25 - 34,R&D,Life Sciences,806,Male,Laboratory Technician,Married,30,Bachelor's Degree,1
35 - 44,R&D,Medical,807,Female,Healthcare Representative,Married,40,Associates Degree,1
25 - 34,Sales,Life Sciences,808,Female,Sales Executive,Married,34,Associates Degree,1
35 - 44,R&D,Life Sciences,809,Male,Manager,Divorced,42,Bachelor's Degree,1
Under 25,R&D,Life Sciences,811,Male,Laboratory Technician,Married,23,Bachelor's Degree,1
Under 25,R&D,Life Sciences,812,Male,Laboratory Technician,Divorced,24,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,813,Female,Laboratory Technician,Married,52,Master's Degree,1
45 - 54,R&D,Medical,815,Male,Research Director,Married,50,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,816,Female,Laboratory Technician,Married,29,Associates Degree,1
25 - 34,R&D,Medical,817,Male,Research Director,Married,33,Bachelor's Degree,1
25 - 34,Sales,Marketing,819,Female,Sales Executive,Single,33,Bachelor's Degree,1
45 - 54,R&D,Other,820,Female,Manager,Married,47,Associates Degree,1
35 - 44,R&D,Other,823,Female,Manufacturing Director,Married,36,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,824,Male,Research Scientist,Married,29,Associates Degree,1
Over 55,R&D,Life Sciences,825,Male,Research Director,Single,58,Master's Degree,1
35 - 44,R&D,Life Sciences,826,Female,Research Scientist,Single,35,Master's Degree,1
35 - 44,R&D,Life Sciences,827,Female,Manufacturing Director,Married,42,Associates Degree,1
25 - 34,R&D,Medical,828,Male,Research Scientist,Single,28,Master's Degree,1
35 - 44,HR,Human Resources,829,Male,Human Resources,Married,36,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,830,Female,Manufacturing Director,Married,32,Bachelor's Degree,1
35 - 44,R&D,Medical,832,Male,Laboratory Technician,Single,40,Master's Degree,1
25 - 34,R&D,Medical,833,Female,Manufacturing Director,Single,30,Bachelor's Degree,1
45 - 54,R&D,Life Sciences,834,Female,Research Scientist,Single,45,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,836,Male,Manufacturing Director,Married,42,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,837,Male,Healthcare Representative,Divorced,38,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,838,Female,Research Scientist,Single,34,Master's Degree,1
45 - 54,Sales,Marketing,840,Female,Sales Executive,Married,49,Bachelor's Degree,1
Over 55,Sales,Medical,842,Male,Sales Executive,Single,55,High School,1
35 - 44,R&D,Life Sciences,843,Male,Research Director,Married,43,Associates Degree,1
25 - 34,R&D,Technical Degree,844,Male,Research Director,Divorced,27,High School,1
35 - 44,R&D,Other,845,Male,Manufacturing Director,Single,35,Bachelor's Degree,1
25 - 34,Sales,Marketing,846,Female,Sales Executive,Married,28,Master's Degree,1
25 - 34,HR,Human Resources,847,Male,Human Resources,Married,34,Associates Degree,1
25 - 34,R&D,Medical,848,Female,Research Scientist,Married,26,Associates Degree,1
25 - 34,R&D,Medical,850,Male,Research Scientist,Married,27,Bachelor's Degree,1
45 - 54,Sales,Marketing,851,Female,Manager,Married,51,Master's Degree,1
35 - 44,R&D,Medical,852,Male,Healthcare Representative,Single,44,Bachelor's Degree,1
25 - 34,R&D,Medical,854,Male,Research Scientist,Single,25,High School,1
25 - 34,Sales,Medical,855,Male,Sales Executive,Divorced,33,Bachelor's Degree,1
35 - 44,R&D,Medical,856,Female,Research Scientist,Single,35,High School,1
35 - 44,Sales,Life Sciences,857,Male,Sales Executive,Married,36,Associates Degree,1
25 - 34,Sales,Life Sciences,859,Male,Sales Executive,Divorced,32,Master's Degree,1
25 - 34,R&D,Life Sciences,861,Male,Research Scientist,Divorced,30,Master's Degree,1
45 - 54,Sales,Marketing,862,Female,Sales Executive,Married,53,Associates Degree,1
45 - 54,Sales,Marketing,864,Male,Sales Executive,Divorced,45,Bachelor's Degree,1
25 - 34,R&D,Medical,865,Female,Research Scientist,Married,32,Associates Degree,1
45 - 54,R&D,Medical,867,Female,Manufacturing Director,Married,52,Master's Degree,1
35 - 44,Sales,Marketing,868,Male,Sales Executive,Divorced,37,Master's Degree,1
25 - 34,HR,Medical,869,Male,Human Resources,Divorced,28,Associates Degree,1
Under 25,R&D,Life Sciences,872,Male,Manufacturing Director,Married,22,Associates Degree,1
35 - 44,R&D,Life Sciences,874,Male,Laboratory Technician,Married,44,Master's Degree,1
35 - 44,R&D,Medical,875,Male,Research Scientist,Single,42,High School,1
35 - 44,HR,Life Sciences,878,Male,Human Resources,Married,36,Bachelor's Degree,1
25 - 34,Sales,Other,879,Male,Sales Executive,Married,25,High School,1
35 - 44,R&D,Life Sciences,880,Female,Manufacturing Director,Married,35,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,881,Female,Research Scientist,Divorced,35,Master's Degree,1
25 - 34,R&D,Life Sciences,882,Male,Laboratory Technician,Divorced,32,Bachelor's Degree,1
25 - 34,Sales,Marketing,885,Male,Sales Executive,Married,25,High School,1
45 - 54,R&D,Technical Degree,887,Female,Research Scientist,Married,49,Bachelor's Degree,1
Under 25,R&D,Life Sciences,888,Male,Laboratory Technician,Married,24,High School,1
25 - 34,Sales,Life Sciences,889,Male,Sales Executive,Married,32,Associates Degree,1
35 - 44,Sales,Marketing,893,Male,Sales Representative,Married,38,Bachelor's Degree,1
35 - 44,R&D,Life Sciences,894,Female,Laboratory Technician,Married,42,Bachelor's Degree,1
25 - 34,R&D,Life Sciences,895,Male,Research Scientist,Married,31,Master's Degree,1
25 - 34,Sales,Medical,896,Female,Sales Representative,Divorced,29,Bachelor's Degree,1
45 - 54,Sales,Marketing,897,Male,Sales Executive,Married,53,Bachelor's Degree,1
35 - 44,R&D,Technical Degree,899,Male,Manufacturing Director,Married,35,Bachelor's Degree,1
