Attrition,CF_attrition label,Employee Number,Gender,Job Role,Marital Status,Monthly Income,Performance Rating,Years Since Last Promotion,Years With Curr Manager
Yes,Ex-Employees,554,Female,Sales Representative,Single,3202,3,1,4
Yes,Ex-Employees,555,Female,Sales Representative,Divorced,2351,3,1,0
No,Current Employees,556,Male,Laboratory Technician,Married,1702,4,0,0
No,Current Employees,558,Female,Manager,Married,18041,3,1,12
No,Current Employees,560,Female,Research Scientist,Divorced,2886,4,0,2
No,Current Employees,562,Male,Laboratory Technician,Married,2097,3,1,4
No,Current Employees,564,Male,Research Director,Married,11935,3,0,7
Yes,Ex-Employees,565,Female,Research Scientist,Married,2546,3,1,1
Yes,Ex-Employees,566,Male,Human Resources,Single,2564,3,0,0
No,Current Employees,567,Female,Sales Executive,Married,8412,3,7,8
No,Current Employees,568,Male,Manager,Divorced,14118,3,0,0
No,Current Employees,569,Male,Manager,Married,17046,3,15,7
No,Current Employees,571,Female,Laboratory Technician,Single,2564,3,6,7
No,Current Employees,573,Female,Sales Executive,Married,10266,3,13,11
No,Current Employees,574,Female,Manufacturing Director,Divorced,5070,3,0,4
No,Current Employees,575,Male,Research Director,Married,17861,3,0,1
No,Current Employees,577,Male,Laboratory Technician,Single,4230,3,4,3
No,Current Employees,578,Female,Laboratory Technician,Single,3780,3,0,0
No,Current Employees,579,Male,Research Scientist,Divorced,2768,3,5,7
No,Current Employees,580,Female,Sales Executive,Married,9071,3,1,2
No,Current Employees,581,Male,Manufacturing Director,Divorced,10648,4,0,8
Yes,Ex-Employees,582,Male,Manager,Married,13610,3,7,7
Yes,Ex-Employees,584,Male,Laboratory Technician,Divorced,3408,3,1,3
No,Current Employees,585,Male,Sales Representative,Single,2983,3,1,2
No,Current Employees,586,Male,Healthcare Representative,Married,7632,3,0,0
Yes,Ex-Employees,587,Male,Healthcare Representative,Married,9824,3,0,0
Yes,Ex-Employees,590,Female,Human Resources,Divorced,9950,3,0,2
No,Current Employees,591,Male,Laboratory Technician,Married,2093,3,2,0
No,Current Employees,592,Male,Sales Executive,Single,9980,3,9,7
Yes,Ex-Employees,593,Male,Laboratory Technician,Single,3894,3,1,2
No,Current Employees,595,Female,Sales Executive,Married,4051,3,6,7
No,Current Employees,597,Female,Manager,Single,16835,4,7,7
No,Current Employees,599,Male,Sales Executive,Single,6230,3,1,10
No,Current Employees,600,Male,Sales Executive,Married,4717,3,6,9
No,Current Employees,601,Female,Manufacturing Director,Single,13237,3,5,13
No,Current Employees,602,Female,Laboratory Technician,Married,3755,3,0,7
No,Current Employees,604,Male,Sales Executive,Single,6582,3,0,5
No,Current Employees,605,Male,Manufacturing Director,Married,7406,4,5,8
No,Current Employees,606,Male,Sales Executive,Married,4805,3,3,7
Yes,Ex-Employees,608,Female,Human Resources,Divorced,2741,3,1,0
No,Current Employees,611,Male,Manufacturing Director,Divorced,4262,3,1,2
No,Current Employees,612,Female,Research Director,Divorced,16184,3,0,5
No,Current Employees,613,Male,Manager,Divorced,11557,4,0,1
Yes,Ex-Employees,614,Male,Sales Representative,Single,1878,3,0,0
No,Current Employees,615,Male,Sales Executive,Divorced,10932,3,0,1
No,Current Employees,616,Female,Healthcare Representative,Single,6811,3,0,7
No,Current Employees,618,Male,Sales Executive,Divorced,4306,3,0,0
No,Current Employees,620,Female,Sales Executive,Single,4859,3,0,3
No,Current Employees,621,Male,Sales Executive,Single,5337,3,5,7
Yes,Ex-Employees,622,Male,Laboratory Technician,Single,2340,3,0,0
No,Current Employees,623,Female,Manufacturing Director,Single,7491,3,1,2
No,Current Employees,624,Female,Healthcare Representative,Married,10527,3,1,2
No,Current Employees,625,Female,Manager,Married,16595,3,11,8
No,Current Employees,626,Male,Sales Executive,Divorced,8834,3,7,7
No,Current Employees,630,Male,Research Scientist,Divorced,5577,3,6,9
Yes,Ex-Employees,631,Male,Sales Executive,Married,4707,3,1,2
No,Current Employees,632,Male,Sales Representative,Married,2400,3,2,1
No,Current Employees,634,Female,Healthcare Representative,Married,9824,3,0,0
No,Current Employees,635,Female,Manufacturing Director,Married,6447,3,4,3
No,Current Employees,638,Male,Research Director,Divorced,19502,3,0,9
No,Current Employees,639,Male,Research Scientist,Married,2725,3,1,4
No,Current Employees,641,Male,Sales Executive,Married,6272,4,1,4
No,Current Employees,643,Male,Laboratory Technician,Married,2127,4,0,0
No,Current Employees,644,Male,Manager,Married,18200,3,10,7
No,Current Employees,645,Male,Sales Representative,Married,2096,3,0,6
Yes,Ex-Employees,647,Female,Laboratory Technician,Married,2886,3,1,2
Yes,Ex-Employees,648,Male,Sales Representative,Married,2033,3,0,0
No,Current Employees,649,Male,Research Scientist,Married,3622,3,1,3
Yes,Ex-Employees,650,Male,Sales Executive,Divorced,4233,3,1,2
No,Current Employees,652,Male,Laboratory Technician,Single,3681,3,0,2
No,Current Employees,653,Male,Sales Executive,Divorced,5460,4,5,7
No,Current Employees,655,Female,Research Scientist,Divorced,2187,3,0,3
No,Current Employees,656,Male,Sales Executive,Married,9602,3,1,0
No,Current Employees,657,Female,Research Scientist,Single,2836,3,0,0
No,Current Employees,659,Female,Healthcare Representative,Married,4089,3,2,2
No,Current Employees,661,Male,Research Director,Divorced,16627,3,0,0
No,Current Employees,662,Female,Research Scientist,Single,2619,3,0,0
No,Current Employees,663,Male,Laboratory Technician,Divorced,5679,3,4,7
No,Current Employees,664,Female,Manager,Married,15402,3,0,2
No,Current Employees,665,Female,Human Resources,Single,5985,3,0,2
No,Current Employees,666,Female,Sales Representative,Divorced,2579,3,0,6
Yes,Ex-Employees,667,Male,Sales Representative,Divorced,3041,3,0,2
No,Current Employees,669,Male,Sales Representative,Single,3447,3,1,2
No,Current Employees,671,Male,Manager,Married,19513,3,0,1
No,Current Employees,675,Male,Research Scientist,Married,2773,4,2,2
No,Current Employees,677,Male,Sales Executive,Divorced,7104,3,1,2
No,Current Employees,679,Female,Research Scientist,Married,6322,3,0,5
No,Current Employees,680,Female,Research Scientist,Divorced,2083,4,0,0
No,Current Employees,682,Female,Sales Executive,Single,8381,4,8,10
No,Current Employees,683,Male,Research Scientist,Married,2691,3,8,8
Yes,Ex-Employees,684,Female,Sales Executive,Married,4286,3,0,0
No,Current Employees,686,Female,Laboratory Technician,Married,2659,3,0,2
No,Current Employees,689,Male,Manufacturing Director,Married,9434,3,7,8
No,Current Employees,690,Female,Sales Executive,Married,5561,3,1,2
No,Current Employees,691,Male,Research Scientist,Single,6646,3,11,8
No,Current Employees,692,Male,Healthcare Representative,Divorced,7725,4,4,7
No,Current Employees,698,Male,Human Resources,Married,10725,3,7,1
No,Current Employees,699,Male,Manufacturing Director,Divorced,8847,3,0,2
No,Current Employees,700,Male,Research Scientist,Single,2045,3,1,1
Yes,Ex-Employees,701,Male,Research Scientist,Single,1009,3,1,1
Yes,Ex-Employees,702,Male,Research Scientist,Single,3348,3,9,7
No,Current Employees,704,Male,Laboratory Technician,Married,1281,3,0,0
No,Current Employees,705,Male,Research Scientist,Married,2819,3,0,2
No,Current Employees,707,Male,Sales Executive,Married,4851,4,1,2
No,Current Employees,709,Female,Sales Executive,Single,4028,4,0,5
No,Current Employees,710,Male,Research Scientist,Divorced,2720,3,2,8
No,Current Employees,712,Male,Sales Executive,Married,8120,3,2,2
No,Current Employees,714,Female,Sales Executive,Divorced,4647,4,0,4
No,Current Employees,715,Male,Research Scientist,Single,4680,3,0,0
No,Current Employees,716,Male,Laboratory Technician,Married,3221,3,3,8
No,Current Employees,717,Female,Healthcare Representative,Single,8621,3,7,7
Yes,Ex-Employees,720,Female,Sales Executive,Single,4577,3,2,0
No,Current Employees,721,Female,Healthcare Representative,Single,4553,3,11,10
No,Current Employees,722,Male,Sales Executive,Single,5396,3,0,8
Yes,Ex-Employees,723,Male,Sales Executive,Married,6796,3,1,3
No,Current Employees,724,Female,Healthcare Representative,Single,7625,3,1,8
No,Current Employees,725,Female,Manufacturing Director,Married,7412,3,0,7
No,Current Employees,727,Female,Research Director,Single,11159,3,7,7
No,Current Employees,728,Male,Sales Executive,Single,4960,3,1,7
No,Current Employees,729,Male,Sales Executive,Married,10475,4,1,12
No,Current Employees,730,Male,Research Director,Married,14814,3,1,3
No,Current Employees,731,Male,Manager,Divorced,19141,3,12,6
No,Current Employees,732,Male,Sales Executive,Single,5405,3,2,2
No,Current Employees,733,Male,Manufacturing Director,Divorced,8793,4,1,7
No,Current Employees,734,Male,Manager,Married,19189,3,2,10
No,Current Employees,738,Male,Sales Representative,Married,3875,3,2,2
Yes,Ex-Employees,741,Female,Research Scientist,Single,2216,3,3,7
No,Current Employees,742,Female,Research Director,Married,11713,3,0,5
No,Current Employees,743,Female,Manufacturing Director,Single,7861,3,0,0
No,Current Employees,744,Male,Laboratory Technician,Single,3708,3,1,4
No,Current Employees,746,Female,Sales Executive,Divorced,13770,3,11,13
No,Current Employees,747,Male,Sales Executive,Divorced,5304,4,7,7
No,Current Employees,749,Male,Sales Representative,Single,2642,3,0,0
Yes,Ex-Employees,752,Male,Research Scientist,Divorced,2759,3,2,2
No,Current Employees,754,Male,Sales Executive,Married,6804,3,2,2
No,Current Employees,757,Female,Healthcare Representative,Single,6142,3,4,3
No,Current Employees,758,Male,Laboratory Technician,Married,2500,3,0,2
No,Current Employees,760,Female,Human Resources,Married,6389,3,3,6
No,Current Employees,762,Male,Healthcare Representative,Married,11103,3,1,1
No,Current Employees,763,Female,Research Scientist,Single,2342,4,2,3
No,Current Employees,764,Female,Healthcare Representative,Single,6811,3,0,7
No,Current Employees,766,Male,Sales Representative,Divorced,2297,3,2,2
No,Current Employees,769,Male,Laboratory Technician,Single,2450,3,2,2
No,Current Employees,771,Female,Healthcare Representative,Divorced,5093,3,0,0
No,Current Employees,772,Male,Laboratory Technician,Married,5309,3,4,7
No,Current Employees,773,Male,Research Scientist,Married,3057,3,0,1
No,Current Employees,775,Female,Manufacturing Director,Divorced,5121,3,0,0
No,Current Employees,776,Male,Manager,Married,16856,3,1,16
Yes,Ex-Employees,780,Male,Research Scientist,Single,2686,3,7,8
No,Current Employees,781,Female,Sales Executive,Single,6180,4,1,4
No,Current Employees,783,Male,Sales Representative,Single,6632,3,3,1
No,Current Employees,784,Male,Research Scientist,Single,3505,3,0,2
Yes,Ex-Employees,785,Female,Sales Executive,Single,6397,3,1,3
No,Current Employees,786,Male,Sales Executive,Single,6274,4,1,4
Yes,Ex-Employees,787,Male,Manager,Married,19859,3,1,4
No,Current Employees,789,Male,Sales Executive,Single,7587,3,0,9
No,Current Employees,791,Male,Research Scientist,Married,4258,3,1,2
No,Current Employees,792,Female,Laboratory Technician,Divorced,4364,3,2,0
No,Current Employees,793,Female,Healthcare Representative,Married,4335,3,1,1
Yes,Ex-Employees,796,Male,Sales Executive,Single,5326,3,1,2
No,Current Employees,797,Female,Research Scientist,Single,3280,3,1,3
No,Current Employees,799,Female,Manufacturing Director,Divorced,5485,3,1,4
No,Current Employees,800,Male,Sales Executive,Married,4342,3,1,1
No,Current Employees,802,Female,Research Scientist,Divorced,2782,3,4,3
No,Current Employees,803,Female,Manufacturing Director,Single,5980,3,4,12
No,Current Employees,804,Female,Research Scientist,Single,4381,3,1,3
No,Current Employees,805,Female,Sales Representative,Married,2572,3,0,2
No,Current Employees,806,Male,Laboratory Technician,Married,3833,4,0,2
No,Current Employees,807,Female,Healthcare Representative,Married,4244,4,3,7
No,Current Employees,808,Female,Sales Executive,Married,6500,3,1,2
No,Current Employees,809,Male,Manager,Divorced,18430,3,14,9
Yes,Ex-Employees,811,Male,Laboratory Technician,Married,1601,4,0,0
No,Current Employees,812,Male,Laboratory Technician,Divorced,2694,3,0,0
No,Current Employees,813,Female,Laboratory Technician,Married,3149,4,1,4
No,Current Employees,815,Male,Research Director,Married,17639,3,0,3
Yes,Ex-Employees,816,Female,Laboratory Technician,Married,2319,3,0,0
No,Current Employees,817,Male,Research Director,Married,11691,3,3,7
Yes,Ex-Employees,819,Female,Sales Executive,Single,5324,3,0,2
No,Current Employees,820,Female,Manager,Married,16752,3,3,0
No,Current Employees,823,Female,Manufacturing Director,Married,5228,3,0,5
No,Current Employees,824,Male,Research Scientist,Married,2700,4,0,7
Yes,Ex-Employees,825,Male,Research Director,Single,19246,3,13,8
No,Current Employees,826,Female,Research Scientist,Single,2506,3,2,2
No,Current Employees,827,Female,Manufacturing Director,Married,6062,3,0,2
Yes,Ex-Employees,828,Male,Research Scientist,Single,4382,3,2,1
No,Current Employees,829,Male,Human Resources,Married,2143,3,0,4
No,Current Employees,830,Female,Manufacturing Director,Married,6162,3,6,8
No,Current Employees,832,Male,Laboratory Technician,Single,5094,3,0,0
No,Current Employees,833,Female,Manufacturing Director,Single,6877,4,0,0
No,Current Employees,834,Female,Research Scientist,Single,2274,3,0,0
No,Current Employees,836,Male,Manufacturing Director,Married,4434,3,7,8
No,Current Employees,837,Male,Healthcare Representative,Divorced,6288,3,1,2
No,Current Employees,838,Female,Research Scientist,Single,2553,3,1,3
Yes,Ex-Employees,840,Female,Sales Executive,Married,7654,3,7,7
Yes,Ex-Employees,842,Male,Sales Executive,Single,5160,3,7,3
No,Current Employees,843,Male,Research Director,Married,17159,4,1,0
No,Current Employees,844,Male,Research Director,Divorced,12808,3,0,8
No,Current Employees,845,Male,Manufacturing Director,Single,10221,4,1,6
No,Current Employees,846,Female,Sales Executive,Married,4779,4,7,5
No,Current Employees,847,Male,Human Resources,Married,3737,3,0,2
Yes,Ex-Employees,848,Female,Research Scientist,Married,2366,3,1,7
No,Current Employees,850,Male,Research Scientist,Married,1706,3,0,0
No,Current Employees,851,Female,Manager,Married,16307,3,4,17
No,Current Employees,852,Male,Healthcare Representative,Single,5933,3,2,3
No,Current Employees,854,Male,Research Scientist,Single,3424,3,0,1
No,Current Employees,855,Male,Sales Executive,Divorced,4037,4,0,8
No,Current Employees,856,Female,Research Scientist,Single,2559,3,1,1
No,Current Employees,857,Male,Sales Executive,Married,6201,3,4,11
No,Current Employees,859,Male,Sales Executive,Divorced,4403,3,0,3
No,Current Employees,861,Male,Research Scientist,Divorced,3761,3,0,3
No,Current Employees,862,Female,Sales Executive,Married,10934,3,0,4
No,Current Employees,864,Male,Sales Executive,Divorced,10761,3,0,2
No,Current Employees,865,Female,Research Scientist,Married,5175,3,1,3
No,Current Employees,867,Female,Manufacturing Director,Married,13826,4,0,0
No,Current Employees,868,Male,Sales Executive,Divorced,6334,3,0,0
No,Current Employees,869,Male,Human Resources,Divorced,4936,3,0,4
No,Current Employees,872,Male,Manufacturing Director,Married,4775,4,2,2
No,Current Employees,874,Male,Laboratory Technician,Married,2818,4,0,2
No,Current Employees,875,Male,Research Scientist,Single,2515,3,2,2
No,Current Employees,878,Male,Human Resources,Married,2342,4,0,3
No,Current Employees,879,Male,Sales Executive,Married,4194,3,0,3
No,Current Employees,880,Female,Manufacturing Director,Married,10685,4,5,15
Yes,Ex-Employees,881,Female,Research Scientist,Divorced,2022,3,7,8
No,Current Employees,882,Male,Laboratory Technician,Divorced,2314,3,0,2
No,Current Employees,885,Male,Sales Executive,Married,4256,3,0,3
No,Current Employees,887,Female,Research Scientist,Married,3580,3,0,2
No,Current Employees,888,Male,Laboratory Technician,Married,3162,3,3,4
No,Current Employees,889,Male,Sales Executive,Married,6524,3,5,3
No,Current Employees,893,Male,Sales Representative,Married,2899,3,1,2
No,Current Employees,894,Female,Laboratory Technician,Married,5231,3,1,3
No,Current Employees,895,Male,Research Scientist,Married,2356,3,0,2
Yes,Ex-Employees,896,Female,Sales Representative,Divorced,2800,3,0,2
No,Current Employees,897,Male,Sales Executive,Married,11836,3,2,2
No,Current Employees,899,Male,Manufacturing Director,Married,10903,3,4,8
No,Current Employees,900,Female,Sales Representative,Married,2973,3,0,0
No,Current Employees,901,Female,Research Director,Single,14275,3,3,8
No,Current Employees,902,Female,Healthcare Representative,Married,5562,3,2,2
No,Current Employees,903,Female,Sales Executive,Married,4537,4,7,7
No,Current Employees,904,Male,Sales Executive,Single,7642,3,0,9
No,Current Employees,905,Male,Manager,Divorced,17924,3,14,7
No,Current Employees,909,Female,Human Resources,Married,5204,3,0,4
No,Current Employees,910,Male,Human Resources,Divorced,2277,3,0,3
Yes,Ex-Employees,911,Male,Laboratory Technician,Single,2795,4,0,1
No,Current Employees,912,Female,Laboratory Technician,Divorced,2532,3,0,3
No,Current Employees,913,Male,Research Scientist,Married,2559,3,7,1
No,Current Employees,916,Male,Sales Executive,Single,4908,3,0,2
Yes,Ex-Employees,918,Male,Laboratory Technician,Divorced,2380,3,0,0
No,Current Employees,920,Female,Manufacturing Director,Divorced,4765,4,0,0
Yes,Ex-Employees,922,Female,Sales Representative,Single,2044,3,0,2
Yes,Ex-Employees,923,Female,Research Scientist,Single,2693,3,0,0
No,Current Employees,924,Male,Healthcare Representative,Married,6586,3,4,11
No,Current Employees,925,Female,Sales Representative,Single,3294,3,1,2
Yes,Ex-Employees,926,Female,Manufacturing Director,Married,4171,3,0,2
Yes,Ex-Employees,927,Female,Laboratory Technician,Divorced,2778,3,1,0
No,Current Employees,930,Female,Research Scientist,Divorced,2377,3,2,2
Yes,Ex-Employees,932,Male,Laboratory Technician,Married,2404,4,2,2
No,Current Employees,933,Female,Research Scientist,Single,2318,3,0,0
No,Current Employees,934,Male,Laboratory Technician,Divorced,2008,3,1,0
No,Current Employees,936,Female,Sales Executive,Single,6244,3,0,3
No,Current Employees,939,Male,Research Scientist,Single,2799,3,0,2
No,Current Employees,940,Female,Healthcare Representative,Divorced,10552,3,0,4
No,Current Employees,941,Male,Sales Representative,Married,2329,3,5,2
No,Current Employees,942,Female,Healthcare Representative,Married,4014,4,0,7
No,Current Employees,944,Female,Laboratory Technician,Married,7403,3,1,7
No,Current Employees,945,Male,Research Scientist,Married,2259,3,0,0
No,Current Employees,947,Female,Sales Executive,Married,6932,3,0,0
No,Current Employees,949,Male,Research Scientist,Single,4678,3,0,1
No,Current Employees,950,Female,Research Director,Married,13582,3,5,11
No,Current Employees,951,Female,Laboratory Technician,Married,2332,4,0,2
Yes,Ex-Employees,952,Male,Sales Representative,Married,2413,3,0,0
No,Current Employees,954,Male,Sales Executive,Divorced,9705,3,0,0
No,Current Employees,956,Male,Sales Executive,Single,4294,3,0,7
No,Current Employees,957,Male,Laboratory Technician,Single,4721,3,2,17
No,Current Employees,958,Male,Laboratory Technician,Single,2519,4,3,9
Yes,Ex-Employees,959,Male,Sales Representative,Single,2121,3,0,0
Yes,Ex-Employees,960,Male,Laboratory Technician,Single,2973,3,0,0
No,Current Employees,961,Female,Healthcare Representative,Married,5855,3,8,5
No,Current Employees,964,Male,Research Scientist,Divorced,3617,3,0,0
No,Current Employees,966,Female,Manufacturing Director,Married,6725,3,6,3
Yes,Ex-Employees,967,Male,Sales Executive,Married,10325,3,3,7
No,Current Employees,969,Female,Healthcare Representative,Single,6949,3,1,4
Yes,Ex-Employees,970,Male,Sales Executive,Married,10609,3,11,7
No,Current Employees,972,Male,Laboratory Technician,Married,4447,3,0,8
No,Current Employees,974,Female,Sales Representative,Married,2157,3,0,2
No,Current Employees,975,Female,Sales Executive,Married,4601,3,1,0
No,Current Employees,976,Male,Manager,Married,17099,3,7,8
Yes,Ex-Employees,977,Male,Research Scientist,Single,2479,4,0,0
No,Current Employees,981,Male,Manager,Divorced,14852,3,15,2
No,Current Employees,982,Male,Sales Executive,Divorced,7264,3,7,7
No,Current Employees,983,Female,Sales Executive,Single,5666,3,1,3
No,Current Employees,984,Male,Sales Executive,Divorced,7823,3,0,8
No,Current Employees,985,Male,Sales Executive,Single,7880,3,0,7
Yes,Ex-Employees,986,Female,Sales Executive,Single,13194,3,0,0
No,Current Employees,987,Male,Manufacturing Director,Divorced,5067,3,2,7
No,Current Employees,990,Male,Sales Executive,Divorced,5079,3,0,7
Yes,Ex-Employees,991,Male,Research Scientist,Single,2321,4,1,2
No,Current Employees,992,Male,Manager,Single,17444,3,6,0
Yes,Ex-Employees,994,Female,Research Scientist,Single,2404,4,0,0
No,Current Employees,995,Female,Research Scientist,Single,3452,3,0,2
No,Current Employees,996,Female,Laboratory Technician,Divorced,2270,3,0,2
No,Current Employees,997,Male,Research Director,Divorced,17399,4,1,3
No,Current Employees,998,Female,Healthcare Representative,Married,5488,3,1,2
No,Current Employees,999,Male,Research Director,Divorced,19419,3,0,11
No,Current Employees,1001,Female,Laboratory Technician,Married,2811,3,2,2
No,Current Employees,1002,Male,Laboratory Technician,Married,3633,3,0,8
No,Current Employees,1003,Female,Sales Executive,Single,4163,3,0,7
Yes,Ex-Employees,1004,Female,Research Scientist,Married,2132,3,0,1
No,Current Employees,1005,Male,Manufacturing Director,Married,13973,3,1,5
No,Current Employees,1006,Male,Research Scientist,Married,2684,3,0,2
No,Current Employees,1007,Male,Manufacturing Director,Divorced,10845,3,0,7
No,Current Employees,1009,Female,Manufacturing Director,Divorced,4377,3,3,2
Yes,Ex-Employees,1010,Male,Laboratory Technician,Divorced,3743,4,0,2
No,Current Employees,1011,Female,Manufacturing Director,Married,4148,3,0,3
No,Current Employees,1012,Male,Research Scientist,Single,1051,3,0,0
No,Current Employees,1013,Female,Manufacturing Director,Married,10739,3,0,8
No,Current Employees,1014,Female,Healthcare Representative,Divorced,10388,3,10,1
No,Current Employees,1015,Female,Research Director,Married,11416,3,1,7
Yes,Ex-Employees,1016,Female,Research Scientist,Single,2600,3,0,0
Yes,Ex-Employees,1017,Female,Laboratory Technician,Single,2422,3,1,2
No,Current Employees,1018,Male,Manufacturing Director,Married,5472,3,1,3
No,Current Employees,1019,Male,Laboratory Technician,Married,2451,3,1,1
No,Current Employees,1022,Male,Healthcare Representative,Single,4240,3,2,2
No,Current Employees,1024,Male,Healthcare Representative,Single,10999,3,4,8
No,Current Employees,1025,Female,Manufacturing Director,Single,5003,3,2,1
No,Current Employees,1026,Female,Manufacturing Director,Married,12742,3,11,8
No,Current Employees,1027,Female,Manufacturing Director,Married,4227,3,2,2
No,Current Employees,1028,Male,Laboratory Technician,Divorced,3917,4,1,2
No,Current Employees,1029,Male,Manager,Married,18303,3,0,0
No,Current Employees,1030,Male,Laboratory Technician,Married,2380,3,0,0
No,Current Employees,1032,Female,Manufacturing Director,Single,13726,3,4,3
Yes,Ex-Employees,1033,Female,Healthcare Representative,Married,4777,3,0,0
No,Current Employees,1034,Male,Healthcare Representative,Married,6385,3,6,7
No,Current Employees,1035,Female,Research Director,Divorced,19973,4,5,10
No,Current Employees,1036,Male,Sales Executive,Single,6861,3,0,0
Yes,Ex-Employees,1037,Male,Sales Executive,Single,4969,3,2,2
Yes,Ex-Employees,1038,Female,Manager,Married,19845,3,6,9
No,Current Employees,1039,Female,Sales Executive,Married,13320,3,11,11
No,Current Employees,1040,Female,Sales Executive,Married,6347,3,0,13
Yes,Ex-Employees,1042,Female,Laboratory Technician,Single,2743,3,15,14
No,Current Employees,1043,Female,Manufacturing Director,Single,10880,3,2,8
No,Current Employees,1044,Female,Sales Representative,Single,2342,3,2,2
No,Current Employees,1045,Female,Manager,Married,17650,3,1,1
No,Current Employees,1046,Female,Laboratory Technician,Single,4025,3,7,7
No,Current Employees,1047,Male,Sales Executive,Divorced,9725,3,0,9
No,Current Employees,1048,Male,Manager,Married,11904,3,0,4
No,Current Employees,1049,Male,Human Resources,Single,2177,3,0,4
No,Current Employees,1050,Female,Sales Executive,Married,7525,3,6,12
Yes,Ex-Employees,1052,Male,Laboratory Technician,Divorced,4834,3,0,0
Yes,Ex-Employees,1053,Male,Research Scientist,Married,2042,3,1,2
No,Current Employees,1055,Female,Sales Representative,Married,2220,3,0,0
No,Current Employees,1056,Male,Sales Representative,Married,1052,4,0,0
No,Current Employees,1060,Male,Research Scientist,Married,2821,3,2,2
No,Current Employees,1061,Male,Research Director,Married,19237,3,7,7
No,Current Employees,1062,Female,Healthcare Representative,Single,4107,3,0,1
No,Current Employees,1066,Male,Sales Executive,Married,8396,3,7,5
No,Current Employees,1068,Female,Research Scientist,Divorced,2007,3,1,3
No,Current Employees,1069,Male,Research Director,Divorced,19627,3,2,2
No,Current Employees,1070,Female,Sales Executive,Married,10686,3,7,0
No,Current Employees,1071,Female,Research Scientist,Married,2942,3,0,3
No,Current Employees,1073,Female,Manufacturing Director,Single,8858,3,7,8
No,Current Employees,1074,Male,Manager,Single,16756,3,6,2
No,Current Employees,1076,Male,Sales Executive,Divorced,10798,3,0,0
Yes,Ex-Employees,1077,Female,Sales Representative,Single,2323,3,0,2
Yes,Ex-Employees,1079,Female,Laboratory Technician,Single,1416,3,1,0
No,Current Employees,1080,Female,Research Scientist,Divorced,4615,4,1,7
Yes,Ex-Employees,1081,Male,Research Scientist,Married,2461,3,2,7
Yes,Ex-Employees,1082,Male,Healthcare Representative,Single,8722,3,1,9
No,Current Employees,1083,Male,Laboratory Technician,Married,3955,3,1,3
No,Current Employees,1084,Male,Manufacturing Director,Married,9957,3,0,2
No,Current Employees,1085,Female,Research Scientist,Married,3376,3,0,8
No,Current Employees,1088,Female,Healthcare Representative,Married,8823,3,1,9
No,Current Employees,1092,Male,Healthcare Representative,Married,10322,4,11,1
No,Current Employees,1094,Male,Laboratory Technician,Married,4621,3,1,2
No,Current Employees,1096,Male,Manufacturing Director,Married,10976,3,1,2
No,Current Employees,1097,Female,Research Scientist,Single,3660,3,1,7
Yes,Ex-Employees,1098,Male,Human Resources,Married,10482,3,3,6
No,Current Employees,1099,Male,Healthcare Representative,Divorced,7119,3,1,2
Yes,Ex-Employees,1100,Male,Sales Executive,Single,9582,4,4,7
Yes,Ex-Employees,1101,Female,Research Scientist,Single,4508,4,3,8
No,Current Employees,1102,Male,Laboratory Technician,Divorced,2207,3,2,2
No,Current Employees,1103,Male,Healthcare Representative,Single,7756,3,0,4
No,Current Employees,1105,Female,Sales Executive,Divorced,6694,3,0,0
Yes,Ex-Employees,1106,Male,Laboratory Technician,Married,3691,3,5,6
Yes,Ex-Employees,1107,Male,Laboratory Technician,Divorced,2377,4,0,0
Yes,Ex-Employees,1108,Male,Research Scientist,Single,2313,4,2,2
No,Current Employees,1109,Male,Manager,Married,17665,3,13,7
Yes,Ex-Employees,1111,Male,Laboratory Technician,Divorced,2596,3,0,0
Yes,Ex-Employees,1113,Male,Sales Executive,Single,4728,3,0,0
No,Current Employees,1114,Female,Sales Executive,Married,4302,3,0,2
No,Current Employees,1115,Male,Research Scientist,Married,2979,3,0,0
No,Current Employees,1116,Male,Manager,Single,16885,4,2,1
No,Current Employees,1117,Female,Sales Executive,Married,5593,3,4,12
No,Current Employees,1118,Male,Healthcare Representative,Single,10445,3,4,0
No,Current Employees,1119,Male,Sales Executive,Divorced,8740,3,2,7
No,Current Employees,1120,Female,Research Scientist,Divorced,2514,4,1,7
No,Current Employees,1121,Female,Manufacturing Director,Divorced,7655,3,1,7
No,Current Employees,1124,Male,Manager,Married,17465,3,4,9
No,Current Employees,1125,Male,Sales Executive,Single,7351,3,0,0
No,Current Employees,1126,Female,Manufacturing Director,Married,10820,3,0,1
Yes,Ex-Employees,1127,Male,Healthcare Representative,Divorced,12169,3,11,5
No,Current Employees,1128,Male,Research Director,Single,19626,3,4,9
No,Current Employees,1131,Female,Research Scientist,Single,2070,3,2,2
No,Current Employees,1132,Male,Laboratory Technician,Single,6782,3,0,3
No,Current Employees,1133,Male,Manufacturing Director,Single,7779,4,0,9
No,Current Employees,1135,Male,Sales Representative,Married,2791,3,2,2
No,Current Employees,1136,Male,Research Scientist,Married,3201,3,0,4
No,Current Employees,1137,Male,Sales Executive,Divorced,4968,3,0,2
No,Current Employees,1138,Male,Sales Executive,Married,13120,3,2,3
No,Current Employees,1140,Male,Manufacturing Director,Single,4033,3,0,2
No,Current Employees,1143,Female,Research Scientist,Divorced,3291,3,1,1
No,Current Employees,1148,Male,Laboratory Technician,Single,4272,3,0,0
