Employee_Number,Age,CF_age_band,Department,Education,Education_Field,Employee_Count,Gender,Job_Role,Marital_Status,Attrition,CF_attrition_label,Monthly_Income,Performance_Rating,Years_Since_Last_Promotion,Years_With_Curr_Manager,Environment_Satisfaction,Job_Involvement,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Monthly_Rate,Total_Working_Years,Years_At_Company,Years_In_Current_Role
477,42,35 - 44,R&D,Master's Degree,Other,1,Male,Healthcare Representative,Single,0,Current Employees,6781,4,0,0,1,2,4,2,3,17078,14,1,0
478,21,Under 25,Sales,High School,Technical Degree,1,Female,Sales Representative,Single,1,Ex-Employees,2174,3,1,2,1,2,2,3,3,9150,3,3,2
479,36,35 - 44,Sales,Doctoral Degree,Medical,1,Female,Sales Executive,Single,0,Current Employees,6653,3,0,0,4,3,4,2,3,15276,7,1,0
481,36,35 - 44,Sales,Master's Degree,Medical,1,Male,Sales Executive,Married,0,Current Employees,9699,3,1,12,1,2,4,1,3,7246,16,13,9
482,57,Over 55,R&D,Master's Degree,Medical,1,Male,Healthcare Representative,Married,0,Current Employees,6755,3,1,2,4,3,3,3,3,2967,15,3,2
483,40,35 - 44,R&D,Master's Degree,Life Sciences,1,Female,Laboratory Technician,Married,0,Current Employees,2213,3,1,7,4,4,3,3,3,22495,10,7,7
484,21,Under 25,Sales,Associates Degree,Medical,1,Male,Sales Representative,Single,0,Current Employees,2610,4,2,2,1,3,4,3,2,2851,3,3,2
485,33,25 - 34,Sales,Bachelor's Degree,Marketing,1,Female,Sales Representative,Single,1,Ex-Employees,2851,3,0,0,4,3,3,2,3,9150,1,1,0
486,37,35 - 44,R&D,Bachelor's Degree,Medical,1,Female,Laboratory Technician,Married,0,Current Employees,3452,4,0,3,3,3,1,2,3,17663,17,5,4
487,46,45 - 54,R&D,Master's Degree,Medical,1,Female,Manufacturing Director,Married,0,Current Employees,5258,3,0,0,3,3,3,3,4,16044,7,1,0
488,41,35 - 44,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Single,1,Ex-Employees,9355,3,7,7,1,3,2,3,3,9558,8,8,7
491,50,45 - 54,R&D,Bachelor's Degree,Technical Degree,1,Male,Healthcare Representative,Single,0,Current Employees,10496,3,1,3,4,2,4,4,3,2755,20,4,3
492,40,35 - 44,Sales,Associates Degree,Marketing,1,Male,Sales Executive,Married,1,Ex-Employees,6380,3,1,0,3,2,3,1,3,6110,8,6,4
493,31,25 - 34,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,2657,3,2,2,3,2,2,4,3,7551,3,2,2
494,21,Under 25,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Representative,Single,1,Ex-Employees,2716,3,0,0,3,4,2,4,3,25422,1,1,0
495,29,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,2201,3,1,2,4,3,4,4,3,18168,6,3,2
496,35,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Healthcare Representative,Single,0,Current Employees,6540,3,0,0,3,2,2,3,3,19394,10,1,1
497,27,25 - 34,R&D,Associates Degree,Medical,1,Male,Laboratory Technician,Divorced,0,Current Employees,3816,3,0,4,4,3,2,2,3,17881,5,5,2
498,28,25 - 34,Sales,Master's Degree,Life Sciences,1,Male,Sales Executive,Single,0,Current Employees,5253,3,0,7,2,3,4,4,3,20750,7,7,5
499,49,45 - 54,R&D,Bachelor's Degree,Other,1,Male,Healthcare Representative,Single,0,Current Employees,10965,4,0,0,2,2,3,3,3,12066,26,5,2
500,51,45 - 54,Sales,Associates Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,4936,3,0,7,3,3,4,3,2,14862,18,7,7
501,36,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Scientist,Married,0,Current Employees,2543,3,2,2,4,3,3,2,3,11868,6,2,2
502,34,25 - 34,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Single,1,Ex-Employees,5304,3,0,4,1,4,4,2,2,4652,9,5,2
505,55,Over 55,R&D,Bachelor's Degree,Life Sciences,1,Female,Manager,Single,0,Current Employees,16659,3,1,2,3,3,4,3,3,23258,30,5,4
507,24,Under 25,Sales,Master's Degree,Marketing,1,Female,Sales Executive,Divorced,0,Current Employees,4260,3,0,3,4,3,3,4,4,5915,5,5,2
508,30,25 - 34,Sales,High School,Technical Degree,1,Male,Sales Representative,Married,0,Current Employees,2476,3,0,0,3,3,2,1,3,17434,1,1,0
510,26,25 - 34,R&D,High School,Technical Degree,1,Male,Research Scientist,Single,1,Ex-Employees,3102,4,0,4,3,3,1,3,3,6582,7,6,4
511,22,Under 25,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Married,0,Current Employees,2244,3,1,2,1,3,2,4,3,24440,2,2,1
513,36,35 - 44,Sales,Associates Degree,Medical,1,Male,Sales Executive,Married,0,Current Employees,7596,3,9,0,2,2,3,2,3,3809,10,10,9
514,30,25 - 34,R&D,Bachelor's Degree,Technical Degree,1,Male,Research Scientist,Single,1,Ex-Employees,2285,4,0,0,3,3,4,3,3,3427,3,1,0
515,37,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Female,Laboratory Technician,Divorced,0,Current Employees,3034,3,12,17,4,3,1,3,2,26914,18,18,7
516,40,35 - 44,Sales,Associates Degree,Marketing,1,Female,Sales Executive,Divorced,0,Current Employees,5715,3,1,3,4,3,2,3,3,22553,8,5,4
517,42,35 - 44,R&D,Master's Degree,Life Sciences,1,Female,Laboratory Technician,Divorced,0,Current Employees,2576,3,1,2,2,3,1,2,3,20490,8,5,2
518,37,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Manufacturing Director,Single,0,Current Employees,4197,3,0,1,3,3,2,4,2,21123,18,1,0
520,43,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Director,Divorced,0,Current Employees,14336,3,3,9,1,2,2,3,3,4345,25,25,10
521,40,35 - 44,R&D,Bachelor's Degree,Medical,1,Female,Laboratory Technician,Married,0,Current Employees,3448,4,0,0,2,2,3,2,3,13436,20,1,0
522,54,45 - 54,R&D,Associates Degree,Medical,1,Male,Research Director,Married,0,Current Employees,19406,3,1,2,1,3,1,3,2,8509,24,4,2
523,34,25 - 34,Sales,Master's Degree,Marketing,1,Female,Sales Executive,Married,0,Current Employees,6538,3,1,2,3,3,3,1,3,12740,6,3,2
524,31,25 - 34,R&D,Associates Degree,Medical,1,Female,Manufacturing Director,Married,0,Current Employees,4306,3,3,12,2,3,1,2,1,4156,13,13,10
525,43,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,2258,4,1,2,4,3,4,1,3,15238,8,3,2
526,43,35 - 44,R&D,Master's Degree,Other,1,Female,Healthcare Representative,Divorced,0,Current Employees,4522,3,0,2,3,3,3,4,3,2227,8,5,2
527,25,25 - 34,Sales,Associates Degree,Life Sciences,1,Female,Sales Executive,Single,0,Current Employees,4487,3,1,3,2,2,4,2,3,12090,5,5,4
529,37,35 - 44,R&D,Doctoral Degree,Medical,1,Female,Research Scientist,Married,0,Current Employees,4449,3,10,7,2,3,3,1,3,23866,15,13,11
530,31,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,2218,3,3,2,4,2,1,3,3,16193,4,4,2
531,39,35 - 44,R&D,High School,Life Sciences,1,Male,Manager,Divorced,0,Current Employees,19197,3,1,6,2,3,3,3,3,8213,21,21,8
532,56,Over 55,Sales,Bachelor's Degree,Life Sciences,1,Female,Sales Executive,Married,0,Current Employees,13212,3,7,7,3,4,1,4,2,18256,36,7,7
533,30,25 - 34,Sales,Bachelor's Degree,Technical Degree,1,Female,Sales Executive,Single,0,Current Employees,6577,3,4,4,2,3,3,2,3,19558,6,5,4
534,41,35 - 44,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,8392,3,0,7,2,4,1,3,3,19566,10,10,7
536,28,25 - 34,R&D,Associates Degree,Medical,1,Male,Laboratory Technician,Divorced,0,Current Employees,4558,3,1,8,3,3,1,4,3,13535,10,10,0
538,25,25 - 34,R&D,Bachelor's Degree,Medical,1,Male,Laboratory Technician,Married,1,Ex-Employees,4031,3,0,2,1,3,1,3,3,9396,6,2,2
543,52,45 - 54,R&D,Bachelor's Degree,Medical,1,Male,Manufacturing Director,Married,0,Current Employees,7969,3,0,4,4,2,3,3,3,19609,28,5,4
544,45,45 - 54,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,2654,4,0,2,1,3,4,4,2,9655,8,2,2
546,52,45 - 54,R&D,Associates Degree,Life Sciences,1,Female,Manager,Married,0,Current Employees,16555,3,1,4,4,3,4,4,1,10310,31,5,2
547,42,35 - 44,R&D,Associates Degree,Life Sciences,1,Female,Research Scientist,Divorced,0,Current Employees,4556,3,0,2,1,3,3,2,3,12932,19,5,4
548,30,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Female,Manufacturing Director,Single,0,Current Employees,6091,4,0,2,3,1,4,3,3,24793,11,5,4
549,60,Over 55,R&D,Bachelor's Degree,Life Sciences,1,Female,Manager,Married,0,Current Employees,19566,3,11,10,1,3,1,4,1,3854,33,29,8
550,46,45 - 54,R&D,Bachelor's Degree,Medical,1,Female,Manufacturing Director,Divorced,0,Current Employees,4810,3,0,8,3,3,3,3,2,26314,19,10,7
551,42,35 - 44,R&D,Master's Degree,Technical Degree,1,Female,Healthcare Representative,Married,0,Current Employees,4523,3,0,4,4,2,4,4,4,4386,7,6,5
554,24,Under 25,Sales,High School,Technical Degree,1,Female,Sales Representative,Single,1,Ex-Employees,3202,3,1,4,1,3,2,2,3,21972,6,5,3
555,34,25 - 34,Sales,Associates Degree,Marketing,1,Female,Sales Representative,Divorced,1,Ex-Employees,2351,3,1,0,4,1,3,4,2,12253,3,2,2
556,38,35 - 44,R&D,Associates Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,1702,4,0,0,4,3,4,3,3,12106,1,1,0
558,40,35 - 44,Sales,Master's Degree,Life Sciences,1,Female,Manager,Married,0,Current Employees,18041,3,1,12,3,3,3,4,3,13022,21,20,15
560,26,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Scientist,Divorced,0,Current Employees,2886,4,0,2,1,3,4,2,1,3032,3,3,2
562,30,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,2097,3,1,4,3,3,4,3,1,16734,9,5,3
564,29,25 - 34,R&D,Master's Degree,Medical,1,Male,Research Director,Married,0,Current Employees,11935,3,0,7,2,2,3,3,3,21526,10,10,2
565,29,25 - 34,R&D,Doctoral Degree,Technical Degree,1,Female,Research Scientist,Married,1,Ex-Employees,2546,3,1,1,3,2,2,2,4,18300,6,2,2
566,19,Under 25,HR,Associates Degree,Technical Degree,1,Male,Human Resources,Single,1,Ex-Employees,2564,3,0,0,1,2,4,3,4,18437,1,1,0
567,30,25 - 34,Sales,Master's Degree,Other,1,Female,Sales Executive,Married,0,Current Employees,8412,3,7,8,3,3,1,3,3,2890,10,9,8
568,57,Over 55,Sales,Bachelor's Degree,Marketing,1,Male,Manager,Divorced,0,Current Employees,14118,3,0,0,1,2,4,3,2,22102,32,1,0
569,50,45 - 54,R&D,Master's Degree,Life Sciences,1,Male,Manager,Married,0,Current Employees,17046,3,15,7,2,2,3,2,3,9314,28,27,10
571,30,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Laboratory Technician,Single,0,Current Employees,2564,3,6,7,3,3,4,3,2,7181,12,11,7
573,60,Over 55,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Married,0,Current Employees,10266,3,13,11,3,2,1,4,4,2845,22,18,13
574,47,45 - 54,R&D,Associates Degree,Medical,1,Female,Manufacturing Director,Divorced,0,Current Employees,5070,3,0,4,1,3,4,3,3,7389,20,5,0
575,46,45 - 54,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Director,Married,0,Current Employees,17861,3,0,1,1,3,3,3,1,2288,26,3,2
577,35,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Single,0,Current Employees,4230,3,4,3,4,1,3,3,3,19225,6,5,4
578,54,45 - 54,R&D,Master's Degree,Life Sciences,1,Female,Laboratory Technician,Single,0,Current Employees,3780,3,0,0,3,3,3,3,3,23428,19,1,0
579,34,25 - 34,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,2768,3,5,7,4,2,3,3,3,8416,14,7,3
580,46,45 - 54,Sales,Bachelor's Degree,Marketing,1,Female,Sales Executive,Married,0,Current Employees,9071,3,1,2,3,2,4,3,3,11563,15,3,2
581,31,25 - 34,R&D,High School,Life Sciences,1,Male,Manufacturing Director,Divorced,0,Current Employees,10648,4,0,8,3,3,2,4,4,14394,13,13,8
582,33,25 - 34,R&D,High School,Medical,1,Male,Manager,Married,1,Ex-Employees,13610,3,7,7,2,3,3,4,4,24619,15,7,6
584,33,25 - 34,R&D,High School,Medical,1,Male,Laboratory Technician,Divorced,1,Ex-Employees,3408,3,1,3,1,1,4,1,3,6705,8,4,3
585,30,25 - 34,Sales,High School,Marketing,1,Male,Sales Representative,Single,0,Current Employees,2983,3,1,2,4,3,2,1,3,18398,4,3,2
586,35,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Healthcare Representative,Married,0,Current Employees,7632,3,0,0,4,3,3,3,3,14295,10,8,7
587,31,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Healthcare Representative,Married,1,Ex-Employees,9824,3,0,0,1,3,3,1,3,22908,12,1,0
590,34,25 - 34,HR,Bachelor's Degree,Human Resources,1,Female,Human Resources,Divorced,1,Ex-Employees,9950,3,0,2,2,3,1,3,3,11533,11,3,2
591,42,35 - 44,R&D,Associates Degree,Other,1,Male,Laboratory Technician,Married,0,Current Employees,2093,3,2,0,2,3,3,4,3,9260,8,2,2
592,36,35 - 44,Sales,Master's Degree,Medical,1,Male,Sales Executive,Single,0,Current Employees,9980,3,9,7,2,3,4,4,2,15318,10,10,3
593,22,Under 25,R&D,High School,Technical Degree,1,Male,Laboratory Technician,Single,1,Ex-Employees,3894,3,1,2,3,2,3,3,3,9129,4,2,2
595,48,45 - 54,Sales,Doctoral Degree,Marketing,1,Female,Sales Executive,Married,0,Current Employees,4051,3,6,7,2,3,4,1,3,19658,14,9,7
597,55,Over 55,Sales,Doctoral Degree,Life Sciences,1,Female,Manager,Single,0,Current Employees,16835,4,7,7,1,3,2,4,3,9873,37,10,9
599,41,35 - 44,Sales,Associates Degree,Life Sciences,1,Male,Sales Executive,Single,0,Current Employees,6230,3,1,10,4,3,4,4,3,13430,16,14,3
600,35,35 - 44,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,4717,3,6,9,2,3,3,3,3,18659,15,11,9
601,40,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Female,Manufacturing Director,Single,0,Current Employees,13237,3,5,13,2,3,3,3,3,20364,22,20,6
602,39,35 - 44,R&D,High School,Life Sciences,1,Female,Laboratory Technician,Married,0,Current Employees,3755,3,0,7,3,3,3,1,3,17872,8,8,3
604,31,25 - 34,Sales,High School,Life Sciences,1,Male,Sales Executive,Single,0,Current Employees,6582,3,0,5,2,3,4,3,4,8346,10,6,5
605,42,35 - 44,R&D,Bachelor's Degree,Medical,1,Male,Manufacturing Director,Married,0,Current Employees,7406,4,5,8,4,3,1,4,2,6950,10,10,9
606,45,45 - 54,Sales,Bachelor's Degree,Other,1,Male,Sales Executive,Married,0,Current Employees,4805,3,3,7,4,3,2,2,4,16177,9,8,7
608,26,25 - 34,HR,Master's Degree,Life Sciences,1,Female,Human Resources,Divorced,1,Ex-Employees,2741,3,1,0,2,3,3,2,2,22808,8,7,7
611,29,25 - 34,R&D,Bachelor's Degree,Technical Degree,1,Male,Manufacturing Director,Divorced,0,Current Employees,4262,3,1,2,4,3,4,2,4,22645,8,3,2
612,33,25 - 34,R&D,Doctoral Degree,Medical,1,Female,Research Director,Divorced,0,Current Employees,16184,3,0,5,1,4,3,3,3,22578,10,6,1
613,31,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Male,Manager,Divorced,0,Current Employees,11557,4,0,1,3,2,4,3,2,25291,10,5,4
614,18,Under 25,Sales,Bachelor's Degree,Marketing,1,Male,Sales Representative,Single,1,Ex-Employees,1878,3,0,0,2,3,2,4,3,8059,0,0,0
615,40,35 - 44,Sales,Bachelor's Degree,Other,1,Male,Sales Executive,Divorced,0,Current Employees,10932,3,0,1,3,1,1,3,3,11373,20,1,0
616,41,35 - 44,R&D,Master's Degree,Other,1,Female,Healthcare Representative,Single,0,Current Employees,6811,3,0,7,1,2,3,1,3,2112,10,8,7
618,26,25 - 34,Sales,Associates Degree,Medical,1,Male,Sales Executive,Divorced,0,Current Employees,4306,3,0,0,1,3,3,1,3,4267,8,0,0
620,35,35 - 44,Sales,Bachelor's Degree,Medical,1,Female,Sales Executive,Single,0,Current Employees,4859,3,0,3,1,3,3,4,3,6698,5,5,4
621,34,25 - 34,Sales,Master's Degree,Life Sciences,1,Male,Sales Executive,Single,0,Current Employees,5337,3,5,7,4,4,4,4,3,19921,10,10,7
622,26,25 - 34,R&D,Bachelor's Degree,Technical Degree,1,Male,Laboratory Technician,Single,1,Ex-Employees,2340,3,0,0,3,1,4,2,1,23213,1,1,0
623,37,35 - 44,R&D,Bachelor's Degree,Technical Degree,1,Female,Manufacturing Director,Single,0,Current Employees,7491,3,1,2,2,3,4,4,4,23848,12,6,5
624,46,45 - 54,R&D,High School,Medical,1,Female,Healthcare Representative,Married,0,Current Employees,10527,3,1,2,1,3,3,4,2,8984,28,2,2
625,41,35 - 44,Sales,Doctoral Degree,Life Sciences,1,Female,Manager,Married,0,Current Employees,16595,3,11,8,2,3,1,2,3,5626,22,18,16
626,37,35 - 44,Sales,Master's Degree,Medical,1,Male,Sales Executive,Divorced,0,Current Employees,8834,3,7,7,1,3,2,4,3,24666,9,9,5
630,52,45 - 54,R&D,Associates Degree,Technical Degree,1,Male,Research Scientist,Divorced,0,Current Employees,5577,3,6,9,4,3,1,2,3,22087,18,10,9
631,32,25 - 34,Sales,Master's Degree,Other,1,Male,Sales Executive,Married,1,Ex-Employees,4707,3,1,2,4,4,3,4,3,23914,6,4,2
632,24,Under 25,Sales,Bachelor's Degree,Medical,1,Male,Sales Representative,Married,0,Current Employees,2400,3,2,1,4,3,4,3,3,5530,3,2,2
634,38,35 - 44,R&D,Bachelor's Degree,Medical,1,Female,Healthcare Representative,Married,0,Current Employees,9824,3,0,0,3,3,3,3,3,22174,18,1,0
635,37,35 - 44,R&D,Master's Degree,Life Sciences,1,Female,Manufacturing Director,Married,0,Current Employees,6447,3,4,3,2,3,2,2,2,15701,8,6,5
638,49,45 - 54,R&D,Master's Degree,Life Sciences,1,Male,Research Director,Divorced,0,Current Employees,19502,3,0,9,4,2,3,3,3,2125,31,31,9
639,24,Under 25,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,0,Current Employees,2725,3,1,4,2,4,4,2,3,21630,6,6,5
641,26,25 - 34,Sales,Associates Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,6272,4,1,4,1,3,2,4,4,7428,6,5,3
643,24,Under 25,R&D,Associates Degree,Other,1,Male,Laboratory Technician,Married,0,Current Employees,2127,4,0,0,4,2,2,4,3,9100,1,1,0
644,50,45 - 54,HR,Bachelor's Degree,Medical,1,Male,Manager,Married,0,Current Employees,18200,3,10,7,1,3,2,3,3,7999,32,32,5
645,25,25 - 34,Sales,High School,Medical,1,Male,Sales Representative,Married,0,Current Employees,2096,3,0,6,2,3,3,3,3,26376,7,7,4
647,24,Under 25,R&D,Bachelor's Degree,Life Sciences,1,Female,Laboratory Technician,Married,1,Ex-Employees,2886,3,1,2,1,3,3,4,3,14168,6,6,3
648,30,25 - 34,Sales,Master's Degree,Life Sciences,1,Male,Sales Representative,Married,1,Ex-Employees,2033,3,0,0,2,2,1,3,4,14470,1,1,0
649,34,25 - 34,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,3622,3,1,3,2,2,4,4,3,22794,6,6,5
650,31,25 - 34,Sales,Master's Degree,Medical,1,Male,Sales Executive,Divorced,1,Ex-Employees,4233,3,1,2,2,3,1,3,1,11512,9,3,1
652,35,35 - 44,R&D,Associates Degree,Other,1,Male,Laboratory Technician,Single,0,Current Employees,3681,3,0,2,1,2,4,4,3,14004,9,3,2
653,31,25 - 34,Sales,Master's Degree,Medical,1,Male,Sales Executive,Divorced,0,Current Employees,5460,4,5,7,1,4,4,4,4,6219,13,7,7
655,27,25 - 34,R&D,Master's Degree,Medical,1,Female,Research Scientist,Divorced,0,Current Employees,2187,3,0,3,1,2,3,3,2,5013,6,5,3
656,37,35 - 44,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Married,0,Current Employees,9602,3,1,0,4,3,3,3,2,3010,17,3,0
657,20,Under 25,R&D,Bachelor's Degree,Life Sciences,1,Female,Research Scientist,Single,0,Current Employees,2836,3,0,0,4,2,2,4,4,11757,1,1,0
659,42,35 - 44,R&D,Master's Degree,Life Sciences,1,Female,Healthcare Representative,Married,0,Current Employees,4089,3,2,2,3,3,4,2,3,5718,10,10,2
661,43,35 - 44,R&D,Master's Degree,Other,1,Male,Research Director,Divorced,0,Current Employees,16627,3,0,0,2,2,4,3,2,2671,21,1,0
662,38,35 - 44,R&D,High School,Life Sciences,1,Female,Research Scientist,Single,0,Current Employees,2619,3,0,0,3,3,1,4,2,14561,8,0,0
663,43,35 - 44,R&D,Doctoral Degree,Medical,1,Male,Laboratory Technician,Divorced,0,Current Employees,5679,3,4,7,4,3,3,2,3,19627,10,8,7
664,48,45 - 54,R&D,Master's Degree,Life Sciences,1,Female,Manager,Married,0,Current Employees,15402,3,0,2,4,2,1,1,1,17997,21,3,2
665,44,35 - 44,HR,Master's Degree,Life Sciences,1,Female,Human Resources,Single,0,Current Employees,5985,3,0,2,1,2,3,2,4,26894,10,2,2
666,34,25 - 34,Sales,Bachelor's Degree,Technical Degree,1,Female,Sales Representative,Divorced,0,Current Employees,2579,3,0,6,3,3,3,4,3,2912,8,8,2
667,27,25 - 34,Sales,High School,Marketing,1,Male,Sales Representative,Divorced,1,Ex-Employees,3041,3,0,2,3,3,1,2,3,16346,5,4,3
669,21,Under 25,Sales,High School,Technical Degree,1,Male,Sales Representative,Single,0,Current Employees,3447,3,1,2,3,3,3,3,3,24444,3,3,2
671,44,35 - 44,R&D,Master's Degree,Other,1,Male,Manager,Married,0,Current Employees,19513,3,0,1,4,3,4,1,4,9358,26,2,2
675,22,Under 25,R&D,High School,Medical,1,Male,Research Scientist,Married,0,Current Employees,2773,4,2,2,1,3,3,4,3,12145,3,2,2
677,33,25 - 34,Sales,Master's Degree,Marketing,1,Male,Sales Executive,Divorced,0,Current Employees,7104,3,1,2,3,3,3,4,3,20431,6,5,0
679,32,25 - 34,R&D,Master's Degree,Life Sciences,1,Female,Research Scientist,Married,0,Current Employees,6322,3,0,5,1,3,4,4,2,18089,6,6,4
680,30,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Research Scientist,Divorced,0,Current Employees,2083,4,0,0,3,3,3,3,3,22653,1,1,0
682,53,45 - 54,Sales,High School,Medical,1,Female,Sales Executive,Single,0,Current Employees,8381,4,8,10,4,3,1,4,4,7507,18,14,7
683,34,25 - 34,R&D,Doctoral Degree,Life Sciences,1,Male,Research Scientist,Married,0,Current Employees,2691,3,8,8,2,3,4,4,2,7660,10,10,9
684,45,45 - 54,Sales,Master's Degree,Life Sciences,1,Female,Sales Executive,Married,1,Ex-Employees,4286,3,0,0,1,3,1,4,3,5630,5,1,1
686,26,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Female,Laboratory Technician,Married,0,Current Employees,2659,3,0,2,3,3,4,3,3,17759,3,3,2
689,37,35 - 44,R&D,Bachelor's Degree,Other,1,Male,Manufacturing Director,Married,0,Current Employees,9434,3,7,8,3,3,3,3,3,9606,10,10,7
690,29,25 - 34,Sales,Associates Degree,Medical,1,Female,Sales Executive,Married,0,Current Employees,5561,3,1,2,2,3,3,1,2,3487,6,6,0
691,35,35 - 44,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,6646,3,11,8,2,1,4,2,3,19368,17,17,11
692,33,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Healthcare Representative,Divorced,0,Current Employees,7725,4,4,7,3,3,4,3,1,5335,15,13,11
698,54,45 - 54,HR,Master's Degree,Medical,1,Male,Human Resources,Married,0,Current Employees,10725,3,7,1,3,3,2,3,4,6729,16,9,7
699,36,35 - 44,R&D,Associates Degree,Medical,1,Male,Manufacturing Director,Divorced,0,Current Employees,8847,3,0,2,2,2,2,3,3,13934,13,3,2
700,27,25 - 34,R&D,Master's Degree,Medical,1,Male,Research Scientist,Single,0,Current Employees,2045,3,1,1,1,2,4,4,3,15174,5,4,2
701,20,Under 25,R&D,High School,Medical,1,Male,Research Scientist,Single,1,Ex-Employees,1009,3,1,1,4,3,3,4,3,26999,1,1,0
702,33,25 - 34,R&D,Bachelor's Degree,Life Sciences,1,Male,Research Scientist,Single,1,Ex-Employees,3348,3,9,7,1,3,1,1,3,3164,10,10,8
704,35,35 - 44,R&D,Bachelor's Degree,Life Sciences,1,Male,Laboratory Technician,Married,0,Current Employees,1281,3,0,0,3,2,3,3,3,16900,1,1,0
705,23,Under 25,R&D,Bachelor's Degree,Medical,1,Male,Research Scientist,Married,0,Current Employees,2819,3,0,2,1,4,1,1,4,8544,5,3,2
707,25,25 - 34,Sales,Bachelor's Degree,Life Sciences,1,Male,Sales Executive,Married,0,Current Employees,4851,4,1,2,4,4,2,3,3,15678,4,3,2
709,38,35 - 44,Sales,Master's Degree,Marketing,1,Female,Sales Executive,Single,0,Current Employees,4028,4,0,5,4,2,4,1,3,7791,8,7,7
710,29,25 - 34,R&D,Master's Degree,Life Sciences,1,Male,Research Scientist,Divorced,0,Current Employees,2720,3,2,8,2,1,4,4,3,18959,10,10,7
712,48,45 - 54,Sales,High School,Marketing,1,Male,Sales Executive,Married,0,Current Employees,8120,3,2,2,2,4,2,4,3,18597,12,2,2
714,27,25 - 34,Sales,High School,Medical,1,Female,Sales Executive,Divorced,0,Current Employees,4647,4,0,4,4,4,4,2,3,16673,6,6,5
715,37,35 - 44,R&D,Associates Degree,Life Sciences,1,Male,Research Scientist,Single,0,Current Employees,4680,3,0,0,4,4,4,1,3,15232,4,1,0
716,50,45 - 54,R&D,High School,Medical,1,Male,Laboratory Technician,Married,0,Current Employees,3221,3,3,8,4,4,3,3,3,3297,20,20,8
717,34,25 - 34,R&D,Bachelor's Degree,Medical,1,Female,Healthcare Representative,Single,0,Current Employees,8621,3,7,7,4,2,2,2,4,17654,9,8,7
720,24,Under 25,Sales,Associates Degree,Life Sciences,1,Female,Sales Executive,Single,1,Ex-Employees,4577,3,2,0,1,3,3,1,3,24785,4,2,2
721,39,35 - 44,R&D,Master's Degree,Technical Degree,1,Female,Healthcare Representative,Single,0,Current Employees,4553,3,11,10,4,2,3,1,3,20978,20,20,7
722,32,25 - 34,Sales,Bachelor's Degree,Marketing,1,Male,Sales Executive,Single,0,Current Employees,5396,3,0,8,4,3,4,4,2,21703,10,10,7
723,50,45 - 54,Sales,Associates Degree,Technical Degree,1,Male,Sales Executive,Married,1,Ex-Employees,6796,3,1,3,2,3,3,1,3,23452,18,4,3
724,38,35 - 44,R&D,Master's Degree,Life Sciences,1,Female,Healthcare Representative,Single,0,Current Employees,7625,3,1,8,2,4,4,3,2,19383,10,9,7
